,10_1_222_nonlinear_heterogeneous,10_2_222_nonlinear_heterogeneous,10_3_222_nonlinear_heterogeneous,10_4_222_nonlinear_heterogeneous,10_5_222_nonlinear_heterogeneous,10_6_222_nonlinear_heterogeneous,10_7_222_nonlinear_heterogeneous,10_8_222_nonlinear_heterogeneous,10_9_222_nonlinear_heterogeneous,10_10_222_nonlinear_heterogeneous
12,8.0257540316,4.0755180929,6.8770337913,5.1315659372,9.3506480781,8.5532707467,5.4023238569,4.7214383462,8.9448932435,4.0496717287
13,8.7824121584,4.0652918244,6.5400395295,3.8004487172,7.9398731438,7.9498218597,6.0447534998,4.9804813173,8.4365644738,4.9079194348
14,8.9102002103,3.5507257563,6.4106170481,3.3886712185,7.0827949226,6.4598863968,6.991798208,4.9983597732,8.0078478209,4.8464699944
15,10.0727429154,3.3302242514,6.8067983651,3.419397313,5.5514885553,6.0782682554,5.9600508571,6.743815784,9.4696122208,4.1467964125
16,9.6318221097,2.5129279396,8.6511200704,3.1858997434,5.1263621685,6.4996630019,3.4591276213,7.349483185,8.1023391032,3.9537189705
17,9.2185293027,1.8538583002,9.3286749315,3.0789653848,6.1722897591,6.8499530334,3.4965002441,7.9893983528,6.5613554978,3.8576533084
18,7.7903165917,2.6511439276,10.2397928134,3.248423842,5.795746682,6.7005127617,3.7882389239,7.6253835093,6.8261804135,3.8902154619
19,9.6636145094,5.022072795,10.2262049027,3.2246439182,5.093871175,4.7086829862,4.220100058,7.5973561255,7.63231108,2.7585856461
20,8.7614380429,5.7702015945,10.9692131557,4.3705423894,3.2688964959,6.3280415321,3.3860920411,8.4751611977,6.7564065096,1.9284869822
21,8.5717598183,5.8392296998,12.7141805673,4.550152611,1.9833962366,6.2678384171,3.2940547999,8.335004295,7.9878689594,2.3043056215
22,9.7597402993,5.1692482694,11.256363757,3.3667020557,3.2382692895,5.7867892964,4.1715659738,8.7893129964,7.6299887654,2.2195940217
23,10.8566398174,5.0675696111,11.2123647758,3.6258990661,4.2995099145,6.0754445807,4.4067947643,7.5859962425,7.7764892392,3.7837795976
24,11.1031252972,5.4892821511,10.7306672508,2.2756432541,3.3637657564,8.0576817957,3.4953651457,6.1613924807,8.4386662037,3.5300140579
25,10.8735061351,5.957363686,10.2977195066,1.9291523058,3.4684144817,10.0935750174,4.7197116958,5.8873926208,8.2829810478,4.4762302033
26,11.4275368815,6.9679966768,8.1443191432,2.216942875,4.4039173439,10.5702554567,5.9474673164,6.9477392701,9.1440810261,4.2416353188
27,12.9306041222,7.7897616243,7.1413644095,1.9728442398,3.6617096872,10.6424305995,6.1970362126,6.7576781328,9.3473156155,5.1750101133
28,12.5321763867,7.9626672908,8.3826659997,2.4205020398,2.7149286431,11.9567741908,5.6202983335,7.6166118253,9.1008370762,5.2333008029
29,11.3410525648,9.4313775427,9.1907404816,4.1228110443,2.9646828693,11.2765968713,7.3191238898,7.1620035675,8.8438112812,4.8039317909
30,12.0107116299,8.233202463,8.7911025269,4.1912028917,2.3174468942,9.8920303898,6.5869854456,5.1160573262,9.9241116009,4.5898839662
31,13.8578336397,9.2221241624,7.4826603423,6.3569647711,2.6042069356,10.0526077058,5.3809714115,6.2977663364,9.8016426313,5.201081604
32,14.3088819383,10.1133080765,5.8249826985,3.8837476234,2.7683134103,9.4477652869,5.5873524738,7.2217907066,10.258687573,5.4081810644
33,14.5311204058,9.2698687134,4.9034529969,5.7201056868,1.6330594164,7.4754867064,6.0493670668,7.1317907858,9.6326628634,6.5256043845
34,14.0886897007,10.7941586488,2.6721177664,6.4651160763,2.5638083572,7.6050722203,5.1891456043,7.6350795109,8.8180455248,6.3468377499
35,14.5914479555,11.2668965848,4.0165137671,7.7652969681,3.2114037099,6.407648928,4.315956024,8.0104165476,6.8238401399,5.28295391
36,14.29798516,9.9506624792,3.4308967278,6.2334518482,4.2597843074,5.943620026,5.0890052289,7.9469190178,7.0726046927,6.8242919612
37,13.3484151261,9.5886137663,2.98304812,6.955032296,6.3112428069,7.8705756031,5.7325096441,9.5099400117,7.0989498431,4.8142451035
38,13.7788174712,9.062362814,2.0919127763,7.0093508664,5.1723022111,8.0913875804,5.0968121308,9.3667440492,7.7421294873,4.8110831413
39,11.9355319254,8.3734840695,1.8520915614,6.5750410169,5.6388873349,5.9808408004,7.2922554513,10.0814582352,7.8558557794,4.3837560261
40,12.8067832444,7.2418877797,2.1683221923,6.0381000209,5.5816654722,5.8894276844,7.7160843103,11.4667895652,8.5128557826,5.3725941781
41,11.6405672855,7.0809399639,2.0939985998,8.5070135834,6.2398681128,4.4382741067,7.0911889104,12.227734131,7.4520886227,6.6237229051
42,10.8466934274,6.9616707648,2.8847670409,9.7528032707,5.6979947765,4.537123746,7.8789147613,13.191174175,9.4111438075,4.6002145881
43,9.465154262,7.4306887305,4.0126466196,9.2796781678,7.0569743744,5.9840300541,5.8894071979,12.430834945,9.1598000436,5.7158378498
44,9.795807093,8.5155745266,1.885862994,7.6492456281,6.9682965189,6.4089128029,7.6166034925,10.9973356819,8.7465033745,5.6225553477
45,10.5413519334,6.8430071386,2.7205258814,7.9949907311,5.6437987312,7.1946419682,8.1815395615,9.7752624531,9.549706655,6.0606427192
46,10.4424188068,8.1313122794,2.043187484,6.9748642067,5.5750282924,7.9974618695,8.3913036873,8.7443775841,10.9153235649,5.8669877877
47,11.8773774518,8.1065186306,3.8677778006,7.1076046368,6.1115992217,7.6079234815,7.8650033945,8.2985692454,10.1640156997,6.9801511888
48,13.1294618113,5.6777572725,3.8201739988,5.6383715973,5.9255837157,7.3082516963,7.0778457894,7.1307395617,11.2061308594,6.5043975529
49,12.6769438596,6.5074185532,3.1870908642,5.6648063917,6.0293684755,7.4842993954,7.7917219986,6.3819606252,11.2127175537,6.8709093618
50,10.4705103031,7.6065733458,3.1375615006,5.37060448,5.0765988107,8.6705808605,5.0865067001,6.2373971212,11.3264006906,6.8322095876
51,9.6778329262,7.6859080401,2.6362921822,5.74545897,4.6529398857,8.1519156118,5.7841405705,6.6654457264,11.5819048578,5.9918484296
52,9.3673443835,8.3425184306,3.0137060177,4.6405504991,3.9775693762,7.2931435752,3.722320924,8.1245651411,11.6841357692,7.417332261
53,8.3757933596,7.4558603395,2.5030638896,5.2187463944,3.6964794655,8.2486439024,4.7865181226,10.221125298,11.1715918962,6.2830592873
54,8.4596906106,8.4985858834,2.4792334129,6.0611525194,4.4099114894,8.5677946244,6.3879614609,9.8789791927,10.7083484574,5.9940821027
55,9.6640610596,9.2643210815,2.6660655486,6.6817319194,6.5105944448,10.1093990402,5.2321401644,7.9406262252,10.1883322769,5.4785421647
56,9.356692383,8.0219054303,2.1369309348,5.6544258618,5.0160365841,9.2223073107,5.3531675891,8.3608128522,12.9160268795,5.2067293437
57,10.037677699,7.5998073796,3.658470083,5.0238721189,6.181581901,10.3036154105,6.8114819522,7.3933795202,13.4929514859,4.226733133
58,8.5921991091,7.0270688394,3.3062976075,5.9254976902,5.4471450508,8.2883980679,6.8548961848,7.4727734542,12.4678751283,5.3958939306
59,6.5364260631,6.2890979262,2.9895433473,7.4013112775,5.5675027952,7.1413434701,5.9842300924,7.1288912883,12.5940678974,4.7657476931
60,5.4688995404,8.3877451938,4.1409661238,7.1463862664,4.9393517582,6.499565315,7.5864689155,5.7469857705,12.4980830883,4.564744679
61,6.8280152417,9.0274455779,3.8671608672,6.4207780493,6.7380642026,5.4537893623,8.2720048257,5.2541670034,13.310783747,3.8489109259
62,7.419322919,8.8009843383,3.8941047736,6.3750057472,6.6302658307,4.5718232901,10.447441134,3.5347586561,14.0903765654,5.6364110088
63,8.0421254169,7.5321194483,3.6118810029,5.7924515534,5.7972520245,5.4288497209,10.3445469209,4.1837670255,12.7815018142,5.9497906522
64,7.7339627023,8.2446483408,4.5741164612,7.8290886877,5.5589869975,6.8841062829,10.8531101947,5.2203280095,11.9985631397,6.8347208776
65,8.4788091776,7.7534894316,2.6331815947,8.8357216436,6.4870150067,7.2359763324,10.2854679478,3.4792550449,11.8626385766,6.5516077805
66,8.9744190765,6.6653867372,4.869915373,8.6140123527,5.6556889691,6.7036387124,10.4661779767,3.3105979812,11.5817290122,7.6548882502
67,9.0932677423,6.6484539375,4.7639895712,5.9281635637,6.1276111692,7.9546507765,11.6682659581,2.517816997,12.3447179687,7.1586634315
68,10.3698316327,7.6361857766,4.3141421132,5.4719314746,6.0131829812,7.7710875885,12.1476188179,3.9478852516,12.8800992654,5.6445527969
69,9.1087341037,6.0767784792,4.8892092336,6.3845223439,5.7684029529,5.7411900871,13.3249658389,3.6497803529,13.5321187196,5.769942518
70,10.1376878567,6.0092064155,3.5998195204,6.4754850899,3.9352049379,6.2975615454,13.6416149239,4.2832608769,11.908160715,5.1734507711
71,10.2576845607,5.2552302455,4.3501333647,6.4694048676,2.3457271717,6.7084058973,13.4112204389,4.302364944,11.4374933012,6.0951001811
72,10.5823385719,7.4123602895,5.8752899847,4.7949762721,2.3379563678,9.5501177001,13.6995986119,2.8188158646,10.2031340414,6.753392335
73,10.0957419798,10.3442822695,6.0306491409,2.658396406,2.3034376966,10.1101984262,12.1904845834,4.8982483286,10.3304149604,7.2851429329
74,10.0126583445,9.3612542297,5.9245722922,1.8719200246,4.1328168568,11.7437963227,13.3008745988,3.0089023568,9.5320513047,8.0097995664
75,9.8330464454,8.7356139614,6.5003508278,2.4087918005,3.6493141858,11.7556067237,13.1597063255,2.0282600234,8.0081962487,6.2817410341
76,8.66195992,8.8971472893,6.465653999,3.0837241222,3.3432778365,9.4794199661,12.3781166798,1.8439683001,8.4711500056,6.3564344758
77,8.328591181,9.9097207525,7.1629799846,2.8683838493,2.3816451072,9.4381298444,13.090827191,2.4300634407,9.2303542227,7.2049635321
78,8.5760135177,11.4199931807,7.4132939782,2.7783517801,3.7238362233,7.4107084862,13.3214170585,2.6169905809,8.0138782718,8.3390935102
79,9.4641322488,11.5604716349,6.55233871,2.2658342404,5.1298348732,6.1346984643,12.5315860346,3.1478347645,9.5717079581,7.9003826557
80,9.1710812237,11.5387694119,5.7810664977,2.4463782381,4.20931683,6.9590968276,9.8707749975,2.7159253776,10.1979089158,8.5498377469
81,9.7208961414,11.7225822095,6.17948913,2.8655754894,3.266867555,7.1602701556,8.8459281999,1.0873774385,10.0134203848,8.7392386748
82,9.6831184592,10.4126163525,7.4039742465,2.9924333586,4.4642894528,6.4464322021,7.9947212629,0.2867349951,10.3896728387,8.7930005484
83,8.7134961593,9.3096820895,7.0339833601,4.6977690657,3.8478460581,4.9423732604,7.0829022648,0.1768545121,10.5171590998,7.4081532753
84,10.3386850295,9.3862106312,8.6593848657,4.400690062,3.9981442499,5.0393139215,7.9853624329,0.1162471649,9.6785205714,8.6215647362
85,9.4934029124,9.9365328879,8.9465444408,3.8504580406,4.5200553355,4.2674458374,7.8431092815,1.2930741716,8.389638335,10.6983560468
86,10.0109134578,9.5121487231,9.7172045925,3.4635889828,5.2817625606,3.8866524964,6.9042819698,2.6141389463,7.496028962,8.9283575976
87,10.0107637439,10.2724499782,10.3987276341,2.8777603586,4.7688031607,3.0107301492,5.9038747271,4.1921142431,8.8349232104,7.9874516121
88,10.5823773871,8.488077743,8.7417718292,3.3954911469,5.5095731069,2.9869995849,5.8381214741,4.0065363575,10.0346271885,8.2226353505
89,9.6721595488,7.6268356075,8.4671708836,3.0591836089,5.7893196439,2.6118690605,4.7663906368,3.6347854715,10.8575464174,8.0083940837
90,9.9455097193,7.8603611794,7.6925566925,3.7273172219,6.9770863914,3.7093962096,4.7692078324,4.6047642074,11.8163686661,9.4704317541
91,9.7496150222,8.9231026165,6.870669042,4.3903889088,4.5747235622,2.9966016074,5.2450268392,3.502392682,11.8755996562,8.2876528207
92,10.7824010754,9.6775890223,6.3481915925,4.2055186261,5.0630583454,2.3885635874,4.973515481,3.632986358,13.2570070354,7.9393670283
93,9.8510318746,9.5132915036,6.3549002164,3.7650130704,5.6239272,3.3742014601,6.4607435315,3.209618279,13.4325559393,7.5655387804
94,9.0270088032,8.1263926759,6.4042026665,4.2986813225,4.6071406907,2.7788825857,7.7868401696,4.1279000407,13.3541561006,8.6175860813
95,8.403336056,8.5509983076,7.1492227705,3.4382868497,4.0479814145,1.8659764928,6.0004400092,3.5246793765,12.2884130275,8.649781626
96,8.6612813305,10.3272037083,7.4386686702,4.3056201785,4.7201532013,2.1822582603,5.7177161556,3.8683971833,13.4578904635,10.0851635166
97,7.8627255353,7.693429633,7.1162568151,6.00658022,3.1410947884,3.0709043579,6.3179192249,4.4257900984,11.6395463655,9.5776198922
98,9.1006820092,6.473489388,6.9852425675,6.8464422317,5.5921031754,2.2714973309,8.6114337127,3.5067640975,10.3163567103,10.0267139842
99,8.7823966465,7.2111906711,8.0274413629,6.3952078767,5.3358600178,1.5579486668,7.5987531628,1.3941874096,10.1397747737,9.2637558534
100,7.3358360732,8.5690405612,10.3938580706,7.6455143213,4.9996866403,2.9668095176,7.6178960703,1.0095552445,9.2989516639,8.3635622002
101,6.6355664772,6.9758954663,10.263238634,7.2427673285,6.7174679607,2.4657976789,5.921424999,0.8884393998,8.6733776699,8.6293226055
102,5.2734505651,8.8561133427,9.2129626576,6.0610796741,6.3864246812,3.2243825873,5.6844079124,0.7046912442,7.9303961921,8.1021839529
103,7.3924082306,7.7684818005,9.0449112147,5.2333409454,6.6156308215,4.0656309788,5.3581191187,0.0432310538,8.3321405862,8.2242743494
104,7.9963165563,6.2477096497,7.4959186646,5.3403588661,7.6963996065,5.4542494053,4.3590185723,1.2099117806,7.7597618545,8.4906044046
105,7.8898133999,6.9768518953,7.6850817377,5.3046435898,6.5442859432,6.5533814733,4.8916303374,2.1248017627,8.0687922455,6.3300149217
106,8.2054351014,6.3032257538,8.278302559,5.2055143036,7.0659546382,6.7184288922,4.4539747123,1.6930480298,7.4447730576,5.7195401485
107,8.5958845621,5.8365101481,9.3053844463,6.190233167,8.5060796417,6.8937002655,3.6961275091,3.7502318903,8.3494178536,5.1340052371
108,8.3928758412,6.1606968167,7.2842879028,6.3715630595,7.3227813109,6.6218075566,4.1794885323,3.742632519,10.718533432,4.1811942413
109,8.043219176,5.5335061298,6.6249829069,4.4766852054,6.6539401899,6.6248789294,3.7158940782,3.5959997127,10.1796249173,3.8838623721
110,8.7524615206,4.7536556276,7.7135927322,4.7077924615,6.205390598,6.9318554352,5.4716608915,3.1822664668,9.6520129712,4.1739825028
111,9.8636370841,4.1917661334,6.700754455,5.6211100032,7.4265476303,4.6024525505,3.9511130351,2.2938628891,9.8410324268,4.4388427701
112,10.0769156047,3.8296211707,6.6523578404,5.4720957438,8.4193631299,4.8770556617,2.7222142775,3.6984847181,9.7070544472,3.5966516023
113,9.9288422182,3.9984617214,5.5672112751,4.4114674053,9.3726379937,4.5897815195,2.2818448203,4.0158764454,11.0149511028,3.6683575267
114,9.6920639092,4.065678124,4.9579005312,5.5355560319,9.8945051359,2.2231975518,4.1038240614,4.3824377408,11.0046194131,3.6221330419
115,9.2254971327,4.0839062493,4.6111547379,7.0640475274,8.4401810087,2.8550137393,4.9282561887,4.3195885589,11.9648242833,2.6561773102
116,11.8730486944,3.9231290446,3.8697190831,8.4745780559,7.9141514328,2.3009867058,6.5652142843,5.1523896039,10.9581127437,3.2314645479
117,11.3152561633,4.2480648899,4.9980559593,8.4602878464,8.6376038926,1.822168987,6.7475835711,3.7051376762,10.9479570875,2.4243054319
118,12.4396912515,3.3990051726,6.3328861664,7.9290016884,7.9634596444,1.995690457,5.3083094637,2.6695496983,9.3312041818,1.5024186749
119,11.0173544722,3.1697591189,5.9506909954,8.4352400152,9.0373172993,1.2212040297,5.6948458663,5.0170969637,9.018554473,2.7725661103
120,10.6491092984,3.3553145559,5.8708264141,7.6138519599,8.9249241027,2.4629056106,4.2540633707,6.143234326,9.7403648958,3.1969334435
121,10.7781650059,4.0254369863,4.8707996181,7.4362090293,10.3519571566,4.1809351117,4.751877197,5.3933164053,10.3625689401,4.8643308
122,11.0854536505,5.6198734632,5.0943519806,7.4962066393,11.3426451065,3.659986577,4.8755235102,4.9358891586,11.4938053858,7.0149032916
123,11.7738530989,4.7634892153,4.3990956657,6.4389493732,10.9334203558,4.5279499289,5.8680695331,4.7360707014,10.1326969713,7.7240454404
124,11.2094856635,4.6137610849,6.8434963347,4.93432725,11.9509987173,6.8666782427,5.5174876126,5.0795441393,9.9099744496,8.3439715536
125,11.122228414,5.5875705696,7.652752062,4.3268136911,12.4425998413,5.2407462769,4.4938516504,4.5716831385,7.3752258712,9.4781008687
126,8.5771184488,4.907091842,7.852775646,4.6046360335,12.4813558585,4.9708454747,4.2665362413,4.693321303,6.1163282149,10.1166244942
127,8.1757789025,5.5793050282,7.3836292466,5.5877143055,11.8244970231,5.1618924866,4.1291854622,4.2264916461,7.8276781608,9.0892576819
128,9.9195331289,5.0574846853,7.7915143526,4.3753530819,10.0081796646,5.6997014055,2.6847566536,4.6117795807,8.2816422814,7.5017757388
129,8.3324214425,3.9579427362,8.4714866229,3.2775674135,10.2477443194,4.4498928288,2.8675403129,7.054945746,8.0621745622,7.616215507
130,6.6875097297,3.1773015124,8.7320509846,4.0333499763,8.8923738977,5.4605627667,2.7652748828,7.1436431487,8.4700092877,7.0545012454
131,7.568165371,4.2855041459,9.4491058655,4.2294184059,9.6834275202,6.0574004586,4.1861611247,5.8388374921,8.558958185,7.1231266921
132,7.8999356329,4.6159079763,9.7833868614,4.9911282885,10.3016827441,5.7646580601,2.875255171,6.6260305416,10.9995749318,6.4338713729
133,7.4957118601,3.7560594352,10.4524330274,3.9945040896,8.5260498195,3.9683612491,3.8863305783,7.2229422751,9.1726385605,8.0728363233
134,8.3179935,4.2176788396,8.9750622121,5.0825714369,7.7070854985,2.7758061033,3.8354474923,8.6336387166,10.7571162686,7.5326040291
135,6.7732588441,5.2186144112,8.7963699601,5.8431229645,5.8809547418,4.6887719314,5.0146202196,9.6308069208,10.0516924655,8.4337487901
136,5.1200182572,5.819682996,9.4016106741,5.3717488776,6.3229891842,5.2750642068,4.3458273436,9.6571393363,9.7812697129,8.0449638695
137,4.4888864424,7.0187259965,9.8662251658,5.5812024159,4.309238711,6.8409562444,3.2424835157,8.6831881807,10.0581910877,8.0558002532
138,3.6764818733,7.9752239917,10.4254216684,4.1787319313,4.9126417052,7.4749853103,3.2084453737,8.3958746434,10.408906198,8.0590193886
139,1.4243179612,7.5842742133,9.6734001655,5.9558710329,4.0720883908,7.5619273285,3.5510602835,6.7967202396,10.331535138,8.0441770217
140,1.9541575868,7.0966833059,9.3507295377,3.6900188155,4.6757423722,7.8434769226,2.9772443097,6.7613198097,10.7502238675,7.1248938915
141,2.2936175193,5.6195454267,8.0391481245,2.7098172087,6.178977952,9.7959837278,2.2539429432,5.9806534912,11.2728531843,6.7751448768
142,3.545140838,7.2746658226,7.048290834,2.4257655996,5.846724805,9.067712291,2.9468323025,6.7824284671,10.7670654914,6.1835617511
143,4.7128477662,7.5827731081,6.9433566966,3.9093977379,5.9412719066,8.8914357041,3.0711297018,8.2484325681,9.749070754,5.7455803149
144,5.2508386365,7.4827793923,7.0401084108,3.4160834996,5.5381432885,8.1686605637,4.0653948056,7.6414310868,9.0373683271,6.4775834254
145,4.945586167,7.142787189,9.3949216183,4.1246185385,6.1288173175,8.7436397903,4.6406074264,8.5168979319,9.2727601405,5.8621716221
146,5.4593934687,5.3267905163,7.580078189,3.1689407131,4.5673640775,9.3282624523,5.7390235421,9.0802112963,10.1384707973,5.3162798832
147,5.5519060773,5.5852984387,6.4548247211,3.2594646495,5.2238921861,8.049250737,5.7288668049,8.8886483064,10.4109874041,6.4439197435
148,5.3733613129,5.7581466681,5.1967091231,2.6265995844,5.6615258969,8.96343138,6.9637356736,8.4343589662,12.2640997721,8.2257072983
149,4.5395889915,5.1050547478,6.1717446684,6.0275914196,7.6380426843,9.01302767,6.4821367386,7.7129176279,14.2822179606,6.9282510475
150,4.1876773661,6.1988855601,5.2082279754,6.148181607,5.549494432,9.6644691206,6.0670837096,7.550402156,13.2696358478,8.5301336447
151,4.5640624066,6.9581037236,5.5922433624,5.5366874513,4.9288820944,9.2716201462,6.3600880173,7.4787543003,12.2516055674,9.6221850641
152,3.0167441423,5.7624609458,4.9373252259,5.2116326331,4.2856572892,9.5867554728,5.7953715067,7.5297804552,11.57907617,8.7334779148
153,3.8320790204,6.9968442804,5.075055845,5.0823758345,5.0379538367,10.6164181544,6.8437048304,7.4777009931,12.8477730304,8.8327560958
154,4.3849124671,4.350538032,4.3568110896,7.4789455841,6.2154039308,11.5815743584,5.6516147943,7.3843065597,13.2695201148,7.8404661986
155,4.8243371018,6.6406434585,2.9869327632,6.4556127989,6.4670290031,11.2064899291,5.5235909322,9.6635612128,12.5787808135,9.2371461885
156,4.7535119578,5.8564803043,3.0697515667,4.5381675856,8.3415648766,10.0366446201,7.0209332023,8.4420131949,12.9133151586,10.0384834686
157,6.3276586371,5.2986005792,4.4432325065,4.7581147133,7.8760259192,11.6933164323,6.9904766547,8.0661048486,13.3303511376,10.6033438996
158,7.3448637663,5.8846786919,4.5113191602,3.5664000227,7.3743595318,11.5154455012,6.7711266261,7.299076776,12.1497297299,8.7631808853
159,8.0154736216,5.0370650723,5.2171532141,4.807340069,7.8696661815,13.9705352353,7.0663995336,6.3489338268,11.7977099273,8.5608109971
160,7.6982983525,7.7329878236,7.1614715983,5.558165069,6.8673955692,12.7415136682,8.7026206323,6.0204734498,11.2637383507,8.9535781578
161,10.7923869168,8.556787908,6.7165020787,5.0170990939,6.0644140788,12.0234875878,9.6765626864,6.1373102983,12.4679426238,8.5831569165
162,10.3471701116,8.2386362498,7.9921822525,3.8213170182,7.7259614238,12.1650233934,10.100460935,7.1406770274,13.4964166847,8.0432207185
163,10.1317585603,8.076524838,6.2858352372,2.2425145488,6.7220870124,12.1754507009,10.6011937471,6.2347239522,13.5059343731,8.0756313782
164,8.7191299552,7.0730137268,6.6663323145,3.6564508386,7.1048335907,13.5509540421,10.410570776,5.9761926442,13.6146432449,8.7214364316
165,9.1124115158,6.7526534625,5.4647581812,3.9158706255,8.2096075479,13.7153555825,9.2143875367,6.1496874069,12.733738212,8.4433266784
166,8.5871878771,6.0363334086,6.0249195283,4.9362226953,8.9759507257,12.7667726995,10.8183454409,7.3846019153,14.2830330346,7.0248340416
167,6.6091642219,7.0691669015,6.2924343807,5.8955085144,8.563850726,11.4764351439,11.5004177786,5.758558763,12.3787480998,8.4981788476
168,8.010739932,7.909879287,5.8725393032,5.4418910538,9.9004175744,11.5857041225,10.963927594,6.3847191198,12.2568088476,9.0689856107
169,8.9811583398,6.5382780654,4.3690803357,5.9728435666,9.8151803129,11.6211471349,11.2052753162,5.8738231721,11.4478320469,8.9535758766
170,9.0454876629,6.2323238403,3.7769773837,4.9996605882,11.0779914888,11.0726765305,9.4903546118,6.2965953987,11.4658088314,8.613970507
171,7.9471223278,4.6947035629,4.719407842,5.8707350011,10.5634589439,11.2947394953,9.2126659558,6.3268637352,10.0346285963,8.0227838883
172,7.387749839,5.3195337526,3.6316862839,7.3991986616,11.2334718996,9.5424219711,7.8760693057,5.5831919905,10.7617094038,7.5498473722
173,7.159217025,5.8366629743,3.5222180789,7.7263294473,11.6687637377,9.6389760583,7.4433869492,5.1756389027,10.3348102731,8.9922428186
174,7.0922936519,5.9444995175,5.617084557,6.8947271758,10.8027483966,8.5487783348,7.4401723603,4.0133499432,10.9568124621,8.9253827124
175,6.4968738925,7.966780007,6.1919883083,7.1914848963,11.8777284364,5.7787868179,9.3756601448,2.9021794046,10.2183061866,9.8081087372
176,6.5235595001,5.8169812692,5.5104360689,8.216568269,10.991963216,5.6156110777,9.0327823106,4.794411281,10.757756741,9.2472123177
177,4.912561088,7.0530907993,5.1561331536,8.1133822075,10.22894022,5.632721813,9.228141753,6.8747992496,11.1764288542,9.9005183852
178,4.9395530118,7.8862610496,5.3036549733,10.3310542996,10.636339318,5.9131576192,8.5529285933,5.2314078443,11.7533715051,7.7895733783
179,5.8269842104,8.0997230632,6.0300201424,11.7432626033,10.9299093339,6.5724659968,7.9913940482,6.3913099984,11.0384530053,7.6107054928
180,6.5605079016,7.7994081645,5.6851654939,11.0991172581,10.7493104741,6.2849288469,7.1240167215,7.0055851276,12.3669798393,7.1151216061
181,6.6297086619,8.7838007962,6.3380661353,10.7157977696,10.6585756383,5.0212575071,6.9274189762,5.2104627111,10.2596661653,6.591621614
182,4.8289166496,7.5910593089,5.4429011167,10.4411691485,10.8594030026,3.1030430242,7.0393083024,6.1139584871,10.4783401382,5.3801549338
183,5.8027742944,7.0554578709,6.2865477245,10.1281460268,9.9938566096,1.9033348955,8.0264894969,6.2642060145,9.5883327815,5.8143432015
184,6.7308501681,7.3331150753,6.0442103333,8.4446257281,9.976544084,1.3321947304,7.6755812603,5.2375425041,10.3014895219,5.0929416645
185,6.5060153023,8.3873473012,6.1582618733,8.3570444241,9.6955626464,0.9173214759,6.6666094861,6.104140696,11.565412527,4.003879629
186,8.0002014491,8.165578224,5.8887897608,10.0466923946,9.2863454447,1.1966771305,4.777142688,6.0075017317,11.381769004,3.354283384
187,6.6165674583,9.2502513355,6.457112541,10.7440038216,9.8156914301,1.7948090512,6.5195685557,7.1800624272,11.9047808565,3.1150784571
188,7.721590741,10.409505538,5.3053665014,10.9983366197,9.422338688,3.8628182511,4.910754947,6.3346182565,10.0840044482,3.3631152032
189,6.980535651,9.2192070097,4.9231332807,9.8134885459,9.1966787241,3.9865274004,6.3722942212,5.6472641084,9.6447941641,3.8539471686
190,6.5009139208,8.9500944778,6.238072998,9.5009341064,9.2927358527,5.2842147418,7.0364306374,6.4566628479,10.6096735284,2.2672917716
