10_1_222_nl_he,10_2_222_nl_he,10_3_222_nl_he,10_4_222_nl_he,10_5_222_nl_he,10_6_222_nl_he,10_7_222_nl_he,10_8_222_nl_he,10_9_222_nl_he,10_10_222_nl_he
8.0988323234,8.1219068683,6.8217669119,6.3613753155,12.7206457684,4.0899928054,1.8233095153,8.0965427301,5.9191452962,6.5580026692
7.3352386741,7.6983019233,10.1701918183,4.4420495768,11.9261051064,3.4056484761,2.4818025595,10.0440770461,5.3435165375,7.7173344662
7.112375632,6.8095627276,10.7429740394,4.9780895745,11.4800560255,4.2458698508,1.5139603277,9.6551345286,3.0091113079,7.7114267967
6.6472213361,5.3608415336,11.0132703051,3.8902064508,7.928643914,3.5581640042,2.1465781722,10.8412970594,3.4092786776,5.5972396515
5.269873051,4.23460595,10.5592293425,4.24315306,6.929219206,4.0022666148,1.7763944999,9.96147955,4.5194976308,4.9379263368
5.1279743235,3.1352331345,11.7286822405,4.6318911742,5.7267856092,5.5636270293,2.4579598359,8.149051697,4.1303282978,3.9404414831
4.3223885719,1.4403034989,10.3768790047,4.5695225342,4.8491311163,5.5721033642,3.6138066141,8.3478048299,4.215809944,4.089503032
4.1348209525,1.006451199,11.2073607486,3.9471424639,5.0849067512,5.4298991421,5.5938753751,9.1775257665,4.8866702701,6.3656594964
3.1894999005,1.5364826797,10.8523767877,3.1335167938,4.7484822563,4.9067601414,5.8997883693,8.8544836124,4.4505381509,8.7411404998
4.2861738475,1.6873560395,10.6649582762,5.0526777299,4.8780704026,4.4989619332,5.5172222773,7.8455729921,5.6429034399,9.168947506
6.3056433761,4.7927193782,8.1740006601,7.1587616137,4.8802615963,4.8677909985,6.5714079995,6.9834860482,5.8053442938,11.1120555207
7.0299953473,6.7342627329,7.4988099996,8.4193233187,4.0888025164,6.0562166885,8.1838207983,6.7942093247,4.9455096017,11.3787362191
7.2683888914,5.0488231109,7.121114067,7.9458569174,2.966978162,6.6045832312,8.0105602454,6.3288718856,4.0597451324,11.3841944366
6.7130212876,5.0190860878,6.3586286007,8.8820614716,2.623253617,5.6865142144,6.9589641313,6.2132407499,4.3953036223,9.8415534115
6.1369232841,4.930435137,7.1165196483,8.7727479522,2.7014618758,5.8899314591,8.073428623,5.3538032058,3.5061384581,10.2236581423
5.2564065807,4.6981356682,7.6030765955,8.4059014882,4.2151054955,6.9543257614,8.0031751662,5.3978060446,2.5791833198,8.1659994673
6.9823992562,3.7737684157,8.1646338626,9.1200862422,5.6039574808,8.7732618831,6.8292783343,4.4471077887,1.991218111,7.6335199527
6.9515480813,3.4362173786,8.0560286168,9.2670047973,5.3894383119,9.2443795287,6.6510407888,2.5250320775,1.4451625414,5.0785569569
7.2956770927,2.3832667774,8.2968450608,8.0014260847,7.1834085461,8.9907087071,8.4692249196,0.7994262343,0.9746257938,4.6306057334
8.4951421141,1.8054472336,8.804200601,6.1353010992,7.4532113365,7.3001066781,8.0897649122,1.2630302904,1.9048430161,5.0200150567
9.2987831091,3.0870239508,8.5949613888,4.6277168099,7.6346593114,8.1885269285,9.1714110799,0.4689666013,1.1232547949,6.1397023962
8.9706352965,5.3026339561,9.3181573778,3.910861366,8.4910106569,8.1141251169,10.5581541799,1.6072914436,2.1958200643,6.4343280372
6.9999741598,7.6920973931,10.1159285691,4.596266449,9.5703389086,7.8376172119,11.3998075557,1.628720924,3.4549946639,7.5460503787
4.6689926848,10.0728738344,10.3459002149,5.0030458509,9.8813378072,7.3371525718,12.4206388111,3.7502778493,3.8523160949,8.0721188706
4.9037274667,11.6422536506,10.5592856251,7.2676551856,9.5008060536,6.9553817129,11.2445209059,5.8697357665,5.3867639401,6.0669359626
5.4457497396,12.5304806095,8.6848878667,7.9635926677,8.8931592523,7.0524145114,9.8505720431,8.6609593093,5.9088657268,5.4436576437
6.4433025918,11.5093737678,7.179456167,8.4751776336,8.9868690392,6.8632423242,9.9274648159,12.4078737345,6.7000832355,4.7236396754
9.2504384976,11.7323130017,8.5454181466,7.7475150729,9.186575156,7.1556467056,8.2730381819,13.9064691938,8.9524886243,4.5566162873
10.3463415354,11.5774883486,7.9700173142,8.8178345546,7.5747370008,7.6922518945,6.8695914506,12.1574346626,10.6159070796,4.603097293
11.1558044639,11.1304632866,5.9574660233,10.0321344079,7.0379766194,5.5987936758,7.4365438669,11.9128760486,11.4974337991,4.2151181572
11.721173503,10.2020532469,5.3940625467,10.4140424607,5.262465406,5.513400502,8.1645900417,12.1082036303,11.1947904483,5.3934697614
12.4422149744,10.7430047817,3.6247969181,11.4332526644,6.3573625672,4.6096605337,9.369799746,12.2621007294,12.1634911585,5.5953374192
11.0475284078,9.7556977683,3.5394379621,10.9368555003,7.7613891218,5.1825903259,9.6353499432,8.9851908801,11.8741123993,3.149793388
11.1575940932,8.4568384733,4.3906568574,10.6687918883,9.3488370393,4.5468954274,9.0108277517,8.5141468929,11.4511036402,2.2453726046
11.3692132628,8.5982682332,5.4751278386,11.1473000778,9.4454746476,2.8048000882,8.9646313929,7.2395133907,10.954392831,0.8267627433
11.3581257772,8.021092146,6.8120827772,10.2382766782,9.8887743957,1.8401700828,8.039719927,7.7711505757,9.1531356028,0.930776641
10.3006352041,5.2959966077,6.5908689845,8.3358544149,10.7612778158,1.4512540659,7.528972734,8.9515408474,8.7661683168,1.2834692832
8.8321087826,3.3727396513,6.6792593559,7.3650678186,9.9013208184,2.3742060874,4.4448201681,10.5182062793,8.9685584155,0.3556495975
7.4230253145,2.5327234234,6.0073268774,5.1728905892,10.1499283512,4.5977008824,2.1985490429,12.1205798586,9.773131776,0.904970563
7.4283759154,1.3229638944,4.6318097257,3.4441695288,10.2325610237,6.4917768395,1.0459777587,14.2408255355,10.2727284602,1.5359023928
7.0789611082,2.3179117762,4.1362161376,3.2011417974,8.2135091693,5.430704934,2.21369533,13.9756835119,11.639984546,3.780350709
6.2374957222,3.213274756,3.7314787886,4.1575741374,8.729631618,5.9869492736,3.1786496666,13.6184019769,10.3281007851,5.2435421835
5.927599645,3.2159303309,3.9041553338,4.107003754,8.9724479217,6.7430402041,5.3529414669,13.2066383618,9.8890454462,6.7525278373
7.2678983012,4.0085691457,4.1341294651,6.0486990971,9.0179819852,7.5286898822,6.0031367885,13.6140600031,10.2928247474,5.7997777191
7.8557377289,4.5714741212,3.8513224112,7.8505309338,9.1343468897,7.3194809501,6.8018352837,12.011291054,10.6794911239,5.762234882
7.3588745032,5.0723012064,3.9300168401,8.8034525095,9.2804857892,5.9454342796,5.7299746896,10.4774890939,10.1100077815,5.8849434286
5.6177263754,4.0501984007,4.6326358121,9.8211673646,10.1077273843,4.9147958543,4.7498471868,10.9574530454,11.8838505348,4.5920217816
4.894340734,4.3547319244,5.5547609132,10.3397908143,10.2993686491,4.5961875377,2.3215773718,8.9044873812,11.0501598537,5.8896363955
4.0683874838,3.0982318572,7.3626430255,9.3750444363,8.213060233,3.5211932165,3.09359011,8.5341029776,10.1210716509,6.9567335152
1.5273044789,1.9727470211,7.2096499688,7.2325619361,8.4263646864,2.9226462404,5.2555263621,6.7219055917,8.3878768027,7.0859899762
0.9755103926,1.1468490814,7.6372099886,4.6953500026,8.4505330003,3.7618775319,5.091343374,5.9620485583,8.0764262274,7.0320042737
1.2085901546,1.1492526896,7.2795968533,5.1234521129,6.9245766152,4.6432669562,6.3291165587,4.7997902115,7.1955629356,6.0078914723
2.9040733787,2.0456380956,6.9847401515,6.9946402227,7.3131617127,4.6621325055,7.1324466112,4.2866183414,5.9474145442,4.3433114103
5.0198420013,3.25413135,8.4495239043,6.3040649462,7.822124576,3.0343928366,9.0178211602,5.1403367818,5.4092222805,3.5855063964
6.3238049209,3.618390047,10.6783174607,6.7424284031,7.6681517772,3.2255274721,9.2009192623,6.644527102,5.6167306605,2.4921251067
6.3794146449,4.3592524651,10.6450288495,7.856496199,8.2960312811,2.9449361522,9.2813316182,7.3027388801,6.5910352395,3.0097377527
5.046775692,5.3097760557,11.8130716258,9.1780308119,9.2369398706,3.7097724259,8.9755684218,7.7844480885,6.9082856585,2.7868272297
3.6014775707,6.8192896008,11.8223932611,8.8328165268,9.3928275327,4.4751239309,9.187164396,7.4620694285,5.192758969,3.5474087042
1.8901637612,5.9693948649,11.0551104831,8.1479213104,7.9781090792,4.3516342606,9.0957375903,7.0186553184,4.1631951605,3.5936954229
2.3094408892,5.160590603,11.3658539583,7.3853427414,7.0806902497,4.8070835439,8.7399559159,5.7639933974,3.3873090109,4.1812084785
3.2081230179,3.9338568752,9.4743509696,8.0928977821,6.2944275505,8.0853912162,8.059802805,4.2399326499,3.5721027621,3.6519188581
4.6154974825,3.0405131303,9.7907119889,7.9522480837,6.502902115,9.7912818836,5.9371632009,3.4888386249,3.6097099433,3.7300799737
3.9166032856,2.9842107015,8.4884546966,6.530212895,6.1318683492,11.6237302867,6.5849373955,2.8909585526,4.6851578209,2.9257067101
3.9433828586,1.1811825774,9.905060996,5.6004891735,6.866502316,12.2269825887,7.1751107743,3.3974399339,5.9102756305,2.4972050768
4.3011764813,2.4297643858,12.6378570684,4.9169798821,7.9641592867,12.3877672411,8.3530094685,3.007888905,5.3357125053,3.7980548374
4.0259271247,3.508262655,12.8222994847,6.184079096,9.2949105865,11.9536934712,9.927558824,2.6566882074,4.3454680597,4.2970702469
3.3204472373,3.9421669946,12.8072611481,5.9244673764,10.1468088899,11.9916250547,9.8673576289,0.8962342867,4.5156265511,5.4104565684
4.4324794079,2.7417413961,12.2688877813,5.8228149703,8.8399374464,11.7833412141,10.0492513563,0.5351428007,5.2193147778,6.1164038624
4.8662772637,3.0311575924,13.0822777833,5.799276721,8.69393195,10.2544017193,9.7919498821,0.3522226213,5.1704310307,6.4475150669
5.7477363751,2.0877143506,12.134944979,7.6935676315,7.9893118631,9.9498575016,10.7201955051,1.3984526916,6.6759717192,6.5177091822
7.5285916255,3.0013831809,11.9377046542,8.5897732287,7.0935491007,9.2319484636,11.0092091265,2.9070144411,6.9734510805,5.7979681513
7.9784353108,3.8895637485,12.1480870522,9.6446313426,5.8480189559,9.9513465774,10.5477899824,3.6485770682,5.3763705241,5.7875765144
6.9464668231,6.3339390504,11.1488455018,10.2640421125,5.562761729,10.8004428821,10.8387248174,2.9588607894,3.3364682824,6.4896376838
5.8961661559,7.7426545355,8.5084598866,10.4380865515,5.3913979609,10.5796135634,10.9129780686,4.0540285915,3.9143762692,5.4443788977
5.1687763764,8.008394007,7.4040694039,10.2406362029,6.3824292772,10.4292034912,8.6341747341,4.3491736876,4.4647535958,6.6017415295
5.4405086345,7.5244001478,7.8438308489,10.3988809575,5.5838379368,10.9279319905,6.5325230499,2.7091549863,4.2960124665,6.6359617185
7.2613986438,8.4319445577,8.216336466,10.4436993419,5.4946148503,8.9532390789,6.3891915354,2.1260413623,1.3879905568,9.5148240241
8.4582679946,8.3880987727,8.9486146726,8.8336727351,6.2276779621,7.147938037,4.68113735,2.4239993856,2.429477811,9.1686151589
8.1444002622,7.5899299929,9.2298376302,8.3459772043,6.7623997659,6.466118466,3.064335977,3.7293969647,3.6284137785,9.3741933983
7.0172586932,9.3573165166,8.2014002287,8.381174047,7.7089400918,5.277705603,2.7683459632,5.7302351182,4.4026499935,9.0732550337
6.5731196467,11.2849172653,8.4370969038,7.7126127079,7.7037951953,5.6555048336,3.5206470979,7.4328152243,3.2535563823,9.2215412801
4.6153997252,11.4104736941,8.9262776286,6.785969606,8.5468725801,7.0917315135,4.0025598065,8.2400666707,3.7608559954,9.7273289058
3.8492950377,9.9866108373,11.103083333,4.8860255408,7.7007111172,9.4944266607,6.190580165,6.3843644376,4.534389202,11.1314281744
4.5709351545,8.4728565095,11.1309408408,5.0247352219,7.0581707593,9.3606707094,7.4793436014,5.6026409729,6.8734783256,11.8236555633
3.3487049163,9.8214822766,10.4517153849,4.6450898795,5.01107536,9.4027365554,8.4276944005,5.3505275828,8.4948516251,12.2607908558
2.9722220837,10.3857058012,11.6176696187,4.6013030268,5.2024676317,9.5774686693,9.0311119536,3.6355306766,9.6082406994,9.9682170271
3.8004654233,9.7372681252,12.3336257083,5.0121423649,4.3818693768,9.2639784723,9.2954969459,2.7041730768,11.0107075049,9.1483684977
4.8339514193,9.7441519452,11.3764097695,5.2330664128,3.0539349769,7.6750862513,9.2260157805,1.7960362328,11.3100128227,8.6968527604
5.7368214377,9.3442721636,10.1449818512,6.2679236511,3.0712680121,6.9002013045,11.0653733581,2.3231513705,10.8036228389,11.0823652066
7.2265800915,8.4866857423,9.4447174414,6.6504199332,3.071373834,5.4985548081,11.5881872622,2.519031536,10.2231776088,13.2783787551
7.6705614286,8.5903649095,7.3043245681,7.2462891942,4.1358523987,2.8782973722,12.1368356297,3.097663502,8.6772777243,12.213178542
8.1961200594,9.7206582422,5.7400026466,7.4805421108,5.5959116602,2.3420780574,11.2497554882,3.7885289629,9.1622099331,10.4950549755
9.4151095406,10.3318953482,4.6531932719,7.5149100524,4.6598946917,1.7506998157,11.4497613283,3.9061401168,9.5308430708,11.2828620829
9.506136706,9.0678684617,4.1611785216,6.0765371575,3.7817472014,2.6660325996,12.2517818773,2.9705461173,9.7421429434,10.4805204982
9.0294897251,7.1095372895,3.8266576862,6.5624723214,5.3065114552,3.5980999519,12.0231346355,1.6093756556,11.937603381,10.7946640526
9.9525599885,6.3639817762,3.5618930829,6.750420952,5.8566689025,3.4725780466,11.6431435676,1.1086962489,12.4533709227,11.3848692487
9.9671609105,7.7729721951,2.6310505139,6.3058256695,7.6863455909,1.8128746439,10.5706122063,0.958853202,11.9639597308,11.9873277639
10.3132647887,7.1815156278,1.4495342077,4.6892356844,9.427118391,2.5702966454,9.0698780813,2.0692155563,12.8706613325,11.0515514564
8.3847784783,6.4381949468,2.4772067253,4.1481343417,10.7399922027,3.3427848408,6.9387860742,2.4876879943,13.2268180335,10.0962552754
7.303633162,6.4221713161,2.3382096482,4.3940284878,10.3638565719,3.44739094,6.6654400552,2.9857493066,13.2911033679,10.0195548404
5.5666131132,6.8280113707,1.5212799965,6.1206882504,8.3449606057,4.0440402323,7.0854336258,3.1816731517,11.8494608413,9.0688607182
3.6676161459,7.0862866818,1.3251853747,7.8967962846,6.4304710152,4.4572860206,9.3761164526,3.4722076791,12.1207599873,6.4232613757
2.0621120432,6.4902047436,0.7347641634,8.0989944197,4.8960014694,5.506566777,8.6478858857,2.0589577164,12.6011073372,5.16012077
1.8230844277,6.0058106728,0.0621868259,8.0506013258,4.3600955805,5.3265499384,8.2062650502,3.2143476977,11.1810758171,2.5370459904
1.7629759694,6.1296930146,0.5367298444,6.6752714599,2.814235306,5.6470151884,9.2603357447,4.3908619764,11.1124805626,2.4351047426
1.4330670461,7.0986011795,1.5066583975,7.1557592241,3.5908698011,5.0931989127,8.9714437894,5.3327270056,9.5308757598,1.403613936
2.5000423531,8.3996331709,3.0339573505,7.348806711,3.7464664673,2.9597334442,7.4145291512,7.053158395,8.0608753187,0.7259751476
4.3597066104,9.2581181886,3.2596154888,6.7652257722,4.1162999362,3.0781435526,7.6342308263,7.3035446271,7.9350621927,1.1325932803
6.8338390636,9.3922655597,4.6911246516,7.3737079614,5.2132144353,2.6217075126,7.0377530718,5.9768513847,6.9876953898,3.1321747649
10.8996643671,8.7564927804,6.1147589331,6.3781654116,5.3972515229,2.7458615235,7.639718856,4.742083636,6.46703267,4.0186213463
13.6685248131,6.2767029391,6.6223144529,7.4403683397,5.516285088,2.6126018546,7.7330528979,4.7090106023,6.8291174646,5.6362958801
14.7347970286,4.7896711477,5.8843947589,6.6616218676,6.60035122,2.2788004357,7.4690671843,4.6756586171,6.8688876501,5.47671933
13.5588956102,2.7526362245,4.8562856111,3.754701767,7.3185866677,2.7486263037,7.7800995348,4.0757563436,8.0838785008,6.3552368651
12.5312854293,3.8767842236,4.7580709089,4.3693164327,6.7894899652,3.4596071086,9.7738665072,2.4938775091,9.2318626853,6.9792887405
12.2965372223,4.7945439691,5.4974918558,4.1922330205,6.4510875562,3.7560096948,10.3544040738,3.2662140936,9.3068400319,8.0797108737
11.6165080499,4.9648722211,5.868145152,4.3735277389,6.5181215789,3.785723239,8.9427725642,3.6650749929,10.3108745647,7.7123644916
12.6132381113,5.111395529,4.0151361872,5.2630008893,8.6889353198,5.1449250958,7.9922126335,4.913824114,9.3329373552,6.6194079682
13.291494793,5.3743634365,3.472416407,5.961679099,10.5865786359,4.5093583454,7.4066885719,5.863775389,7.0753378557,7.6507274368
12.9640886715,5.0137247715,4.7563461322,6.0037240395,12.2083025202,4.3766019623,6.7756104028,5.8168810354,5.6007775045,8.5483109497
12.2335769145,4.4072121683,5.3984178247,5.1976071452,12.6126999138,3.3715076803,7.2972256124,6.2976564659,6.096312094,8.368350254
11.5554621882,5.0606488368,5.6893809563,5.6932399348,12.824670518,2.864287216,7.4888758071,5.4242266933,4.2134572318,9.1739510647
9.4170831552,3.8715883755,4.7909666488,5.7164694191,12.7990074644,3.0579201408,6.8817169699,5.7138384873,3.0051020874,9.8115300961
7.8960611365,3.8958921391,4.9354346965,4.9839672529,11.793862372,4.6021882135,5.7763055566,6.3835168601,3.5754785263,10.1244241974
4.4143471903,3.6452530998,4.8686068776,3.2516515785,10.7730406201,5.2066027384,6.108856226,7.1229065655,4.2327719761,10.5377938228
3.9762418815,2.9247962376,5.5515994821,3.2062809257,8.12730762,5.7121549215,7.1346341828,7.5380983739,4.1919951388,10.155206327
5.2795838102,3.3613292686,5.6031309099,2.599940538,8.3655893906,3.8484718382,6.9545142428,7.342562805,3.5448623767,11.2729610594
6.5999436973,5.3458175393,4.3161324084,3.5096307589,9.6238784245,4.605838093,7.6383993055,8.3489215047,4.0389474337,12.5911702433
6.6087673363,8.8590305088,4.1568373334,4.9942642499,9.6752394838,5.4912090653,7.2637593469,8.6140956643,5.5641563023,12.2937887507
5.7716478132,11.3567605307,3.0363700452,6.2281362604,9.9679770366,5.0361546386,8.3628109651,9.449969605,5.3238321838,10.1598737408
4.6559162303,12.6601966388,1.9873608974,6.794533133,8.8680719023,5.1740299925,7.6943578505,9.1546100156,4.3390015391,8.5591333789
5.0478730577,11.6311802099,1.4339579888,8.5821150775,10.0035578361,6.3263450263,8.2513711935,9.2127067233,5.2402108285,8.1787254782
5.2593742316,9.072905607,2.0164626229,8.2908621483,10.2412066455,5.1732163961,8.7294816372,10.604851582,5.911025174,7.3120249154
3.9524056061,7.266006921,2.3923173315,8.7767392871,8.9674040998,7.4202827018,7.556673779,10.1500234838,5.5196766092,7.7963526184
2.3097693482,6.3275389781,2.1576964488,9.793183356,9.5317370354,8.7396340882,5.013973989,10.1271403863,6.0849092236,8.169604725
2.0266194683,5.3401072212,0.893948795,11.7499297821,9.4891944646,9.2281129081,4.9160282197,9.6252786482,6.5018354085,8.0928957392
2.8456071843,4.9206507953,0.8652700904,11.2965326519,8.2528132976,7.3945394828,5.7848979729,9.378487305,6.4896133929,8.9564573002
5.4665783565,4.3175213035,0.0677052773,9.613311529,9.0530182873,7.045890481,5.4419055013,8.6963093051,7.3064856923,8.5044047738
5.7193482675,3.8798648558,0.4628605359,7.8925538872,9.7931593857,6.057432245,5.129162505,6.2326383353,7.3377564083,7.0811808436
3.2832695106,4.0374541355,2.1866116473,7.3920535394,9.3067529386,6.8565656982,5.902230321,5.269730682,7.4299872105,5.899005058
2.4503599179,4.7124966186,3.7338776426,7.4543672667,8.8745501641,9.877154097,7.1480250415,4.6394368227,8.9195157509,3.3663022624
1.9567005561,6.8560243456,5.0015355421,8.2943374341,8.6342071354,10.89196954,7.4235467478,6.3767953693,9.8658761135,2.8988929581
1.5111496559,6.9231273383,6.9355374628,7.7422473775,9.1807409182,9.9499081173,8.250808017,6.3738437881,9.3291720549,3.312604995
1.7067799565,8.5757369399,8.6603179219,6.8045097639,9.408119748,9.8764161234,8.2577146622,7.1653815613,8.5146093037,2.6564487279
3.0216383978,8.4526453074,9.4931865606,6.6207255952,10.4760694686,8.4775457026,10.1149716964,7.1239572904,8.1595378679,3.9015154674
2.7515490352,10.4474952552,8.791007782,6.6803243467,10.5355827632,7.4304309647,13.5949551213,6.9309800438,7.6564183394,5.6949947434
4.5461509567,11.7459277142,7.3426517263,6.6559650719,10.2233153636,6.0073083254,14.8066653158,5.3810369884,7.1998621931,6.3803693161
6.7895178741,12.2214632698,7.6502469727,7.5677243325,10.2678181296,6.4518574284,14.1737791895,5.2054154139,6.3284235098,8.1910805303
8.491583049,12.4168241977,8.7379495044,6.7667371716,8.6196687817,5.8133464664,13.5221161775,4.5630803107,6.6118279828,8.8985808057
10.2439449909,13.7593312018,8.5650534032,5.6058090172,5.3964568603,3.9513681757,13.9861134997,5.846975587,6.2708230917,9.651891281
10.5053052174,14.0423705879,10.11722788,5.0535023735,5.1016993828,3.6144598725,13.5635510772,7.3311789026,4.9251839745,8.0188682798
