,10_1_60_nonlinear_homogeneous,10_2_60_nonlinear_homogeneous,10_3_60_nonlinear_homogeneous,10_4_60_nonlinear_homogeneous,10_5_60_nonlinear_homogeneous,10_6_60_nonlinear_homogeneous,10_7_60_nonlinear_homogeneous,10_8_60_nonlinear_homogeneous,10_9_60_nonlinear_homogeneous,10_10_60_nonlinear_homogeneous
48,6.6489304098,6.4435492826,14.2047100202,2.1408624709,4.8039380722,3.4244944086,10.3349298446,5.5068001756,2.5510655773,4.724439376
49,5.5911381648,6.21068517,14.6728499618,4.1402765489,6.2510673123,2.7335370926,14.4785651302003,4.5407336758,3.9832834111,5.0430419129
50,5.1151301572,5.610988889,13.39569739,5.5629357566,6.2517973489,2.82854576,15.0270176486003,5.355661175,5.6092417547,4.9834439178
51,5.5371794227,6.2573275626,13.2112415233,6.4009104371,6.7738825105,1.437307547,14.6458621235003,6.0872820793,4.8313650648,4.9830798731
52,5.0596275166,5.5942246733,10.5190033718,6.2564235238,7.186844081,3.1839398209,14.9407081893003,6.1937822686,5.0819234487,4.5669861306
53,4.2053931922,5.6329677556,10.7609850174,7.4814728791,7.6231423577,3.8727833308,14.3692589894003,7.0167815998,5.0013827048,5.172946911
54,4.0794409149,4.5637207003,10.1515837757,6.0528821247,8.0165662356,4.3909973582,10.0655163174,6.6118683073,5.7606331891,3.4256813476
55,3.0503397746,3.1436560345,9.3758997184,6.0068424211,8.0190812372,5.3096873122,9.3461155774,6.5452338208,4.4939223671,3.6916638804
56,3.2023304699,1.2944726409,8.9354367889,7.5908038046,7.9381595354,5.6905285248,8.2679984251,6.4137012005,4.0123052698,4.3346782893
57,2.9265594738,3.2605087449,7.5369848183,8.6645039863,5.8154534949,7.0051848774,9.0778830528,5.7875040791,3.3876346232,3.4094135448
58,1.825443397,3.2311988101,8.394057764,7.0749395636,6.6226915603,6.3741537332,13.7553775051003,6.1808969294,3.2132452495,4.7235095092
59,4.8469039628,4.1031069647,8.0376143197,7.3065341774,5.2959906774,4.6917168374,10.5238323869,6.7183134197,3.2167089018,6.300645964
